geometry,crossroad_count,road_length,shop_count,residential_area,commercial_area,industrial_area,railway_station_count,bicycle_lane_length,bus_station_count,start_count,end_count
"POLYGON ((121.1813943113648 31.29445930918367, 121.1813943113648 31.32515904921241, 121.1454617 31.32515904921241, 121.1454617 31.29445930918367, 121.1813943113648 31.29445930918367))",20,48393.85051746854,12,2156315.355951841,104381.41961215928,1625344.506730161,0,3298.0269041097104,57,1,1
"POLYGON ((121.1813943113648 31.32515904921241, 121.1813943113648 31.35584878129317, 121.1454617 31.35584878129317, 121.1454617 31.32515904921241, 121.1813943113648 31.32515904921241))",8,61715.73715402091,0,716664.0561440443,0.0,501371.3666123239,0,0.0,42,1,1
"POLYGON ((121.1813943113648 31.35584878129317, 121.1813943113648 31.38652849988624, 121.1454617 31.38652849988624, 121.1454617 31.35584878129317, 121.1813943113648 31.35584878129317))",9,41703.688010014215,1,775879.469869248,0.0,0.0,0,0.0,56,2,1
"POLYGON ((121.1813943113648 31.38652849988624, 121.1813943113648 31.41719819946523, 121.1454617 31.41719819946523, 121.1454617 31.38652849988624, 121.1813943113648 31.38652849988624))",0,32055.137648037587,0,0.0,0.0,0.0,0,0.0,20,1,1
"POLYGON ((121.1813943113648 31.41719819946523, 121.1813943113648 31.44785787451704, 121.1454617 31.44785787451704, 121.1454617 31.41719819946523, 121.1813943113648 31.41719819946523))",0,26234.83158789117,0,0.0,0.0,1154235.8719046186,0,0.0,18,1,1
"POLYGON ((121.1813943113648 31.44785787451704, 121.1813943113648 31.47850751954186, 121.1454617 31.47850751954186, 121.1454617 31.44785787451704, 121.1813943113648 31.44785787451704))",0,108528.14982459256,0,2592726.78760082,0.0,1161517.6311872597,0,0.0,7,1,1
"POLYGON ((121.1813943113648 31.47850751954186, 121.1813943113648 31.50914712905314, 121.1454617 31.50914712905314, 121.1454617 31.47850751954186, 121.1813943113648 31.47850751954186))",0,55873.19030684341,0,120133.332098195,0.0,468319.8977205104,0,0.0,1,1,1
"POLYGON ((121.2173269227296 30.98691269999999, 121.2173269227296 31.01771221189863, 121.1813943113648 31.01771221189863, 121.1813943113648 30.98691269999999, 121.2173269227296 30.98691269999999))",8,64000.69496173455,0,2119147.9186133654,80428.82186686633,648251.5677780336,0,0.0,109,1,1
"POLYGON ((121.2173269227296 31.01771221189863, 121.2173269227296 31.04850177197812, 121.1813943113648 31.04850177197812, 121.1813943113648 31.01771221189863, 121.2173269227296 31.01771221189863))",43,98870.63074498573,7,8575077.947312562,277841.3672185372,0.0,0,192.71026454382744,142,1,1
"POLYGON ((121.2173269227296 31.04850177197812, 121.2173269227296 31.07928137456562, 121.1813943113648 31.07928137456562, 121.1813943113648 31.04850177197812, 121.2173269227296 31.04850177197812))",10,67182.87639543002,1,1952118.342145795,23534.095356677928,0.0,0,4465.047584087618,65,1,1
"POLYGON ((121.2173269227296 31.07928137456562, 121.2173269227296 31.11005101400166, 121.1813943113648 31.11005101400166, 121.1813943113648 31.07928137456562, 121.2173269227296 31.07928137456562))",1,50579.30383077308,0,3000781.885089431,1564.6999560426946,0.0,0,7513.133546702276,34,1,1
"POLYGON ((121.2173269227296 31.11005101400166, 121.2173269227296 31.14081068464005, 121.1813943113648 31.14081068464005, 121.1813943113648 31.11005101400166, 121.2173269227296 31.11005101400166))",0,51962.823722453584,0,2146334.6086483244,0.0,3971149.992514636,0,13487.105196390828,106,1,1
"POLYGON ((121.2173269227296 31.14081068464005, 121.2173269227296 31.17156038084794, 121.1813943113648 31.17156038084794, 121.1813943113648 31.14081068464005, 121.2173269227296 31.14081068464005))",2,58172.75987049814,0,1827787.8725899607,0.0,1442805.8640980404,1,1850.1674150546112,65,2,3
